world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
hard_two_big_rooms_0,N11179,N38929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9958,0.976,0.9208,0.8259
hard_two_big_rooms_0,N11179,N36970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N11179,N50657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N17530,N18693,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N17530,N36652,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N21358,N13216,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N21358,N75563,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N24229,N63765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9955,0.9753,0.9197,0.8248
hard_two_big_rooms_0,N24229,N26743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0153,0.0471,0.0985
hard_two_big_rooms_0,N24229,N55712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0094,0.0332,0.0767
hard_two_big_rooms_0,N71849,N35786,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9461,0.8844,0.8045,0.7177,0.6338
hard_two_big_rooms_0,N71849,N67221,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1137,0.1856,0.2515,0.2994
hard_two_big_rooms_0,N71849,N36073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0019,0.0099,0.0309,0.0668
hard_two_big_rooms_0,N51527,N11487,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N51527,N74201,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
