"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"Sampling",-36.5739897482548,NA,NA,NA,NA,NA,118.4,1.4,"S34482687","Planning"
"Steps",-40.7120543600491,4.1838,NA,NA,1,NA,NA,NA,"S34482687","Heuristic"
"Steps-Cells",-33.0733193268691,0.6342,NA,NA,0.5,NA,NA,NA,"S34482687","Heuristic"
"Steps-Cells-Num",-35.9000978443961,0.248,NA,NA,0.52,0.42,NA,NA,"S34482687","Heuristic"
"Steps-Num",-40.745630208092,0.7824,NA,NA,1,0.1,NA,NA,"S34482687","Heuristic"
"Cells",-52.8467023649147,8,NA,NA,0,NA,NA,NA,"S35976932","Heuristic"
"Cells-Num",-46.4668583675021,8,NA,NA,0,0.1,NA,NA,"S35976932","Heuristic"
"DU",-30.4512555478506,0.9654,0.48,1,NA,NA,NA,NA,"S35976932","Planning"
"DU-Num",-30.220327752,0.4624,0.32,1,NA,1,NA,NA,"S35976932","Planning"
"EU",-46.7823480258214,4.0172,1,1,NA,NA,NA,NA,"S35976932","Planning"
"EU-Num",-46.7823480258214,4.0172,1,1,NA,10,NA,NA,"S35976932","Planning"
"PW",-30.5019762870103,0.948,1,0.3142,NA,NA,NA,NA,"S35976932","Planning"
"PW_DU",-30.894546822,0.948,0.558,1.3466,NA,NA,NA,NA,"S35976932","Planning"
"Random",-45.3052839210929,1,NA,NA,NA,NA,NA,NA,"S35976932","Heuristic"
"Sampling",-27.6867579075354,NA,NA,NA,NA,NA,9,1,"S35976932","Planning"
"Steps",-32.5200604057765,1.7344,NA,NA,1,NA,NA,NA,"S35976932","Heuristic"
"Steps-Cells",-33.7952067587336,1.53,NA,NA,0.9,NA,NA,NA,"S35976932","Heuristic"
"Steps-Cells-Num",-34.2439626823885,0.506,NA,NA,0.9,0.42,NA,NA,"S35976932","Heuristic"
"Steps-Num",-32.6798083273557,0.5808,NA,NA,1,0.42,NA,NA,"S35976932","Heuristic"
"Cells",-44.1447674805761,5.8508,NA,NA,0,NA,NA,NA,"S55747864","Heuristic"
"Cells-Num",-44.144836797361,1.0942,NA,NA,0,0.1,NA,NA,"S55747864","Heuristic"
"DU",-40.8145569107623,1.7344,0.956,1,NA,NA,NA,NA,"S55747864","Planning"
"DU-Num",-41.40970442,0.5282,0.5,1,NA,0.26,NA,NA,"S55747864","Planning"
"EU",-39.6125633466609,1.9728,1,1,NA,NA,NA,NA,"S55747864","Planning"
"EU-Num",-40.4533909725542,1.9728,1,1,NA,5.12,NA,NA,"S55747864","Planning"
"PW",-42.5468845914777,2.0202,1,1.051,NA,NA,NA,NA,"S55747864","Planning"
"PW_DU",-40.533343961,1.7344,0.87,1.3528,NA,NA,NA,NA,"S55747864","Planning"
"Random",-44.4941536948759,1,NA,NA,NA,NA,NA,NA,"S55747864","Heuristic"
"Sampling",-36.9091861676046,NA,NA,NA,NA,NA,10,11,"S55747864","Planning"
"Steps",-46.3247095570977,8,NA,NA,1,NA,NA,NA,"S55747864","Heuristic"
"Steps-Cells",-44.1158181918742,1.6152,NA,NA,0.4,NA,NA,NA,"S55747864","Heuristic"
"Steps-Cells-Num",-44.7766218161201,0.2862,NA,NA,0.4,0.1,NA,NA,"S55747864","Heuristic"
"Steps-Num",-46.2880766698138,2.8724,NA,NA,1,0.1,NA,NA,"S55747864","Heuristic"
"Cells",-38.0610712052089,8,NA,NA,0,NA,NA,NA,"S26897955","Heuristic"
"Cells-Num",-38.137829967554,2.1394,NA,NA,0,0.1,NA,NA,"S26897955","Heuristic"
"DU",-36.1040175687968,1.4108,0.87,1,NA,NA,NA,NA,"S26897955","Planning"
"DU-Num",-39.98993532,0.9584,0.63,1,NA,3.52,NA,NA,"S26897955","Planning"
"EU",-35.5740282175533,1.8536,1,1,NA,NA,NA,NA,"S26897955","Planning"
"EU-Num",-35.5740282175533,1.8536,1,1,NA,10,NA,NA,"S26897955","Planning"
"PW",-35.5738501952897,1.496,1,0.6952,NA,NA,NA,NA,"S26897955","Planning"
"PW_DU",-37.83502237,1.4108,0.896,0.951,NA,NA,NA,NA,"S26897955","Planning"
"Random",-36.7515516630595,1,NA,NA,NA,NA,NA,NA,"S26897955","Heuristic"
"Sampling",-67.7834639512975,NA,NA,NA,NA,NA,10.6,17.6,"S26897955","Planning"
"Steps",-37.0999783209505,7.0884,NA,NA,1,NA,NA,NA,"S26897955","Heuristic"
"Steps-Cells",-38.5773891074203,1.4448,NA,NA,0.5,NA,NA,NA,"S26897955","Heuristic"
"Steps-Cells-Num",-38.2568546639032,0.4534,NA,NA,0.5,0.42,NA,NA,"S26897955","Heuristic"
"Steps-Num",-37.3805842705999,1.4448,NA,NA,1,0.1,NA,NA,"S26897955","Heuristic"
"Cells",-37.6839735563648,2.4252,NA,NA,0,NA,NA,NA,"S12883980","Heuristic"
"Cells-Num",-39.1306800849126,0.7374,NA,NA,0,0.34,NA,NA,"S12883980","Heuristic"
"DU",-34.6723342849288,0.8434,0.99,1,NA,NA,NA,NA,"S12883980","Planning"
"DU-Num",-35.737966566,0.4222,0.67,1,NA,1.2,NA,NA,"S12883980","Planning"
"EU",-34.7850715286864,0.8434,1,1,NA,NA,NA,NA,"S12883980","Planning"
"EU-Num",-33.8959032553455,0.7824,1,1,NA,4,NA,NA,"S12883980","Planning"
"PW",-35.3012246478554,0.948,1,1.2716,NA,NA,NA,NA,"S12883980","Planning"
"PW_DU",-35.659068362,0.8434,0.87,1.6604,NA,NA,NA,NA,"S12883980","Planning"
"Random",-44.8997188079844,1,NA,NA,NA,NA,NA,NA,"S12883980","Heuristic"
"Sampling",-33.6697052929301,NA,NA,NA,NA,NA,442,9.6,"S12883980","Planning"
"Steps",-48.3639372047718,8,NA,NA,1,NA,NA,NA,"S12883980","Heuristic"
"Steps-Cells",-33.2997029915481,0.6342,NA,NA,0.38,NA,NA,NA,"S12883980","Heuristic"
"Steps-Cells-Num",-30.1701510221173,0.264,NA,NA,0.4,0.5,NA,NA,"S12883980","Heuristic"
"Steps-Num",-46.1886668454518,3.6246,NA,NA,1,0.1,NA,NA,"S12883980","Heuristic"
"Cells",-51.5526981854743,8,NA,NA,0,NA,NA,NA,"S74799945","Heuristic"
"Cells-Num",-47.0987312644348,5.8508,NA,NA,0,0.1,NA,NA,"S74799945","Heuristic"
"DU",-36.125053827866,1.009,0.6,1,NA,NA,NA,NA,"S74799945","Planning"
"DU-Num",-38.188179649,0.4402,0.36,1,NA,0.8,NA,NA,"S74799945","Planning"
"EU",-46.0295688695598,2.825,1,1,NA,NA,NA,NA,"S74799945","Planning"
"EU-Num",-46.0295688695598,2.825,1,1,NA,10,NA,NA,"S74799945","Planning"
"PW",-38.2319833698079,1.009,1,0.3954,NA,NA,NA,NA,"S74799945","Planning"
"PW_DU",-35.87975983,0.948,0.54,1.7736,NA,NA,NA,NA,"S74799945","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S74799945","Heuristic"
"Sampling",-30.1909198429307,NA,NA,NA,NA,NA,17.6,1.4,"S74799945","Planning"
"Steps",-34.8386133086353,2.2586,NA,NA,1,NA,NA,NA,"S74799945","Heuristic"
"Steps-Cells",-34.991902889869,1.0942,NA,NA,0.7,NA,NA,NA,"S74799945","Heuristic"
"Steps-Cells-Num",-35.6309992091548,0.3466,NA,NA,0.72,0.5,NA,NA,"S74799945","Heuristic"
"Steps-Num",-32.3199551495081,0.765,NA,NA,1,0.5,NA,NA,"S74799945","Heuristic"
"Cells",-26.3355393773246,0.9342,NA,NA,0,NA,NA,NA,"S84991550","Heuristic"
"Cells-Num",-23.763813434045,0.3528,NA,NA,0,0.6,NA,NA,"S84991550","Heuristic"
"DU",-30.4132948984488,0.887,0.99,1,NA,NA,NA,NA,"S84991550","Planning"
"DU-Num",-24.368218604,0.5808,0.944,1,NA,0.5,NA,NA,"S84991550","Planning"
"EU",-29.5088754763908,0.826,1,1,NA,NA,NA,NA,"S84991550","Planning"
"EU-Num",-24.6565689677602,0.5932,1,1,NA,0.42,NA,NA,"S84991550","Planning"
"PW",-24.7013362319649,0.887,1,1.434,NA,NA,NA,NA,"S84991550","Planning"
"PW_DU",-25.028737163,0.887,0.99,1.434,NA,NA,NA,NA,"S84991550","Planning"
"Random",-40.3352706115162,1,NA,NA,NA,NA,NA,NA,"S84991550","Heuristic"
"Sampling",-29.734874489898,NA,NA,NA,NA,NA,500,12.6,"S84991550","Planning"
"Steps",-47.7762521889386,8,NA,NA,1,NA,NA,NA,"S84991550","Heuristic"
"Steps-Cells",-23.5863258109324,0.4624,NA,NA,0.22,NA,NA,NA,"S84991550","Heuristic"
"Steps-Cells-Num",-23.0839853799533,0.216,NA,NA,0.26,0.8,NA,NA,"S84991550","Heuristic"
"Steps-Num",-41.6799760669482,7.5442,NA,NA,1,0.1,NA,NA,"S84991550","Heuristic"
"Cells",-48.6822163008875,8,NA,NA,0,NA,NA,NA,"S57902087","Heuristic"
"Cells-Num",-44.632523073411,5.721,NA,NA,0,0.1,NA,NA,"S57902087","Heuristic"
"DU",-35.7968404656503,1.2404,0.64,1,NA,NA,NA,NA,"S57902087","Planning"
"DU-Num",-36.09660907,0.5282,0.34,1,NA,0.84,NA,NA,"S57902087","Planning"
"EU",-43.1670336647771,2.6584,1,1,NA,NA,NA,NA,"S57902087","Planning"
"EU-Num",-43.1670336647771,2.6584,1,1,NA,10,NA,NA,"S57902087","Planning"
"PW",-36.5813414468998,1.3256,1,0.417,NA,NA,NA,NA,"S57902087","Planning"
"PW_DU",-37.28817356,1.2404,0.59,1.2454,NA,NA,NA,NA,"S57902087","Planning"
"Random",-43.5134244468645,1,NA,NA,NA,NA,NA,NA,"S57902087","Heuristic"
"Sampling",-56.2192479771395,NA,NA,NA,NA,NA,8.4,5.4,"S57902087","Planning"
"Steps",-35.845409031047,2.5918,NA,NA,1,NA,NA,NA,"S57902087","Heuristic"
"Steps-Cells",-36.6652732165818,1.2404,NA,NA,0.68,NA,NA,NA,"S57902087","Heuristic"
"Steps-Cells-Num",-35.9982634596016,0.3458,NA,NA,0.68,0.34,NA,NA,"S57902087","Heuristic"
"Steps-Num",-35.8303823917627,0.603,NA,NA,1,0.26,NA,NA,"S57902087","Heuristic"
"Cells",-33.3076252838493,2.2586,NA,NA,0,NA,NA,NA,"S2356784","Heuristic"
"Cells-Num",-35.421130659956,0.5358,NA,NA,0,0.18,NA,NA,"S2356784","Heuristic"
"DU",-35.3836932193805,1.0942,0.99,1,NA,NA,NA,NA,"S2356784","Planning"
"DU-Num",-42.992551524,0.5198,0.678,1,NA,0.76,NA,NA,"S2356784","Planning"
"EU",-35.1464038011995,1.0942,1,1,NA,NA,NA,NA,"S2356784","Planning"
"EU-Num",-34.9793004769381,1.1794,1,1,NA,3.06,NA,NA,"S2356784","Planning"
"PW",-34.6932190958393,1.2646,1,1.434,NA,NA,NA,NA,"S2356784","Planning"
"PW_DU",-34.733267747,1.1794,0.974,1.434,NA,NA,NA,NA,"S2356784","Planning"
"Random",-41.7215649726361,1,NA,NA,NA,NA,NA,NA,"S2356784","Heuristic"
"Sampling",-39.4276572807006,NA,NA,NA,NA,NA,59.6,9.4,"S2356784","Planning"
"Steps",-46.4962478608785,8,NA,NA,1,NA,NA,NA,"S2356784","Heuristic"
"Steps-Cells",-30.9773447564432,0.765,NA,NA,0.32,NA,NA,NA,"S2356784","Heuristic"
"Steps-Cells-Num",-32.6892551616763,0.2542,NA,NA,0.34,0.34,NA,NA,"S2356784","Heuristic"
"Steps-Num",-43.5710322178732,5.6176,NA,NA,1,0.1,NA,NA,"S2356784","Heuristic"
"Cells",-49.0945860153736,8,NA,NA,0,NA,NA,NA,"S33219199","Heuristic"
"Cells-Num",-45.8604979514515,4.417,NA,NA,0,0.1,NA,NA,"S33219199","Heuristic"
"DU",-37.1630699331106,1.496,0.62,1,NA,NA,NA,NA,"S33219199","Planning"
"DU-Num",-39.67804498,0.664,0.32,1,NA,0.64,NA,NA,"S33219199","Planning"
"EU",-43.9040743885875,3.3914,1,1,NA,NA,NA,NA,"S33219199","Planning"
"EU-Num",-43.9040743885875,3.3914,1,1,NA,10,NA,NA,"S33219199","Planning"
"PW",-38.8819064264801,1.6152,1,0.3872,NA,NA,NA,NA,"S33219199","Planning"
"PW_DU",-37.319305083,1.4108,0.54,2,NA,NA,NA,NA,"S33219199","Planning"
"Random",-44.612136740533,1,NA,NA,NA,NA,NA,NA,"S33219199","Heuristic"
"Sampling",-34.3525784143034,NA,NA,NA,NA,NA,9,5,"S33219199","Planning"
"Steps",-39.5057866691456,3.1582,NA,NA,1,NA,NA,NA,"S33219199","Heuristic"
"Steps-Cells",-40.4765986550756,1.6492,NA,NA,0.7,NA,NA,NA,"S33219199","Heuristic"
"Steps-Cells-Num",-41.1758062921753,0.3306,NA,NA,0.7,0.1,NA,NA,"S33219199","Heuristic"
"Steps-Num",-39.6847734101715,0.6778,NA,NA,1,0.1,NA,NA,"S33219199","Heuristic"
"Cells",-48.8946083266306,8,NA,NA,0,NA,NA,NA,"S6630129","Heuristic"
"Cells-Num",-46.4620023029578,3.8578,NA,NA,0,0.1,NA,NA,"S6630129","Heuristic"
"DU",-33.5223967842943,0.7214,0.76,1,NA,NA,NA,NA,"S6630129","Planning"
"DU-Num",-31.471915667,0.3244,0.48,1,NA,1,NA,NA,"S6630129","Planning"
"EU",-41.5593410204681,1.4448,1,1,NA,NA,NA,NA,"S6630129","Planning"
"EU-Num",-41.5593410204681,1.4448,1,1,NA,10,NA,NA,"S6630129","Planning"
"PW",-36.0778904921876,0.9044,1,0.528,NA,NA,NA,NA,"S6630129","Planning"
"PW_DU",-33.575568839,0.7214,0.69,1.3528,NA,NA,NA,NA,"S6630129","Planning"
"Random",-45.3052839210929,1,NA,NA,NA,NA,NA,NA,"S6630129","Heuristic"
"Sampling",-41.9097357878231,NA,NA,NA,NA,NA,10,1.2,"S6630129","Planning"
"Steps",-39.9220936510724,3.6246,NA,NA,1,NA,NA,NA,"S6630129","Heuristic"
"Steps-Cells",-37.0924545847518,1.009,NA,NA,0.6,NA,NA,NA,"S6630129","Heuristic"
"Steps-Cells-Num",-36.0237048068614,0.3244,NA,NA,0.6,0.5,NA,NA,"S6630129","Heuristic"
"Steps-Num",-39.4705567600986,0.6342,NA,NA,1,0.1,NA,NA,"S6630129","Heuristic"
"Cells",-36.2145955000387,2.4252,NA,NA,0,NA,NA,NA,"S19546166","Heuristic"
"Cells-Num",-35.8914946834699,0.4222,NA,NA,0,0.1,NA,NA,"S19546166","Heuristic"
"DU",-38.693098665581,1.9728,0.99,1,NA,NA,NA,NA,"S19546166","Planning"
"DU-Num",-34.390401457,0.3306,0.65,1,NA,0.1,NA,NA,"S19546166","Planning"
"EU",-38.5833330174988,1.8536,1,1,NA,NA,NA,NA,"S19546166","Planning"
"EU-Num",-35.9945025772898,0.826,1,1,NA,0.68,NA,NA,"S19546166","Planning"
"PW",-35.0386856900996,1.9728,1,1.8868,NA,NA,NA,NA,"S19546166","Planning"
"PW_DU",-35.12414622,1.9728,0.972,2,NA,NA,NA,NA,"S19546166","Planning"
"Random",-43.5134244468645,1,NA,NA,NA,NA,NA,NA,"S19546166","Heuristic"
"Sampling",-40.8736874078012,NA,NA,NA,NA,NA,78,26.8,"S19546166","Planning"
"Steps",-49.8664242899014,8,NA,NA,1,NA,NA,NA,"S19546166","Heuristic"
"Steps-Cells",-36.843462366976,1.4108,NA,NA,0.2,NA,NA,NA,"S19546166","Heuristic"
"Steps-Cells-Num",-37.6608049461431,0.264,NA,NA,0.18,0.1,NA,NA,"S19546166","Heuristic"
"Steps-Num",-45.1867928460613,6.3066,NA,NA,1,0.1,NA,NA,"S19546166","Heuristic"
"Cells",-48.1914115672076,8,NA,NA,0,NA,NA,NA,"S86127751","Heuristic"
"Cells-Num",-45.6416500415053,4.1838,NA,NA,0,0.1,NA,NA,"S86127751","Heuristic"
"DU",-36.9532397418387,1.496,0.62,1,NA,NA,NA,NA,"S86127751","Planning"
"DU-Num",-37.42716762,0.948,0.4,1,NA,1.2,NA,NA,"S86127751","Planning"
"EU",-43.6658108014752,3.8578,1,1,NA,NA,NA,NA,"S86127751","Planning"
"EU-Num",-43.6658108014752,3.8578,1,1,NA,10,NA,NA,"S86127751","Planning"
"PW",-36.773087245737,1.496,1,0.379,NA,NA,NA,NA,"S86127751","Planning"
"PW_DU",-38.668925195,1.496,0.708,1.1288,NA,NA,NA,NA,"S86127751","Planning"
"Random",-44.3245546730815,1,NA,NA,NA,NA,NA,NA,"S86127751","Heuristic"
"Sampling",-60.2097542590199,NA,NA,NA,NA,NA,9,7.4,"S86127751","Planning"
"Steps",-38.5620275399006,3.3914,NA,NA,1,NA,NA,NA,"S86127751","Heuristic"
"Steps-Cells",-36.3286000335354,1.07,NA,NA,0.6,NA,NA,NA,"S86127751","Heuristic"
"Steps-Cells-Num",-37.6403679567964,0.232,NA,NA,0.6,0.1,NA,NA,"S86127751","Heuristic"
"Steps-Num",-38.8175439683798,0.6342,NA,NA,1,0.1,NA,NA,"S86127751","Heuristic"
"Cells",-43.728980368724,7.5442,NA,NA,0,NA,NA,NA,"S55878958","Heuristic"
"Cells-Num",-42.9525675652906,2.1394,NA,NA,0,0.1,NA,NA,"S55878958","Heuristic"
"DU",-35.4904839548109,0.887,0.87,1,NA,NA,NA,NA,"S55878958","Planning"
"DU-Num",-35.4904828451,0.887,0.87,1,NA,10,NA,NA,"S55878958","Planning"
"EU",-36.4012583992273,1.2404,1,1,NA,NA,NA,NA,"S55878958","Planning"
"EU-Num",-36.4012583992273,1.2404,1,1,NA,10,NA,NA,"S55878958","Planning"
"PW",-34.4199426596101,0.887,1,0.737,NA,NA,NA,NA,"S55878958","Planning"
"PW_DU",-35.5616617801,0.887,0.934,0.8534,NA,NA,NA,NA,"S55878958","Planning"
"Random",-41.7215649726361,1,NA,NA,NA,NA,NA,NA,"S55878958","Heuristic"
"Sampling",-57.5738423436044,NA,NA,NA,NA,NA,127,5.8,"S55878958","Planning"
"Steps",-40.4621181163765,6.1768,NA,NA,1,NA,NA,NA,"S55878958","Heuristic"
"Steps-Cells",-41.7119173455536,0.946,NA,NA,0.5,NA,NA,NA,"S55878958","Heuristic"
"Steps-Cells-Num",-42.1298222278464,0.3458,NA,NA,0.5,0.84,NA,NA,"S55878958","Heuristic"
"Steps-Num",-40.7545277792919,1.1552,NA,NA,1,0.1,NA,NA,"S55878958","Heuristic"
"Cells",-52.5177524129399,8,NA,NA,0,NA,NA,NA,"S98816579","Heuristic"
"Cells-Num",-47.0243325962487,6.6326,NA,NA,0,0.1,NA,NA,"S98816579","Heuristic"
"DU",-38.4213200787761,2.2586,0.24,1,NA,NA,NA,NA,"S98816579","Planning"
"DU-Num",-36.7499337,0.4222,0.2,1,NA,0.1,NA,NA,"S98816579","Planning"
"EU",-47.0589326181629,8,1,1,NA,NA,NA,NA,"S98816579","Planning"
"EU-Num",-47.0589326181629,8,1,1,NA,10,NA,NA,"S98816579","Planning"
"PW",-38.3745819684507,2.4252,1,0.1,NA,NA,NA,NA,"S98816579","Planning"
"PW_DU",-38.99035063,2.1394,0.438,1.62,NA,NA,NA,NA,"S98816579","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S98816579","Heuristic"
"Sampling",-53.468437252938,NA,NA,NA,NA,NA,9.2,9.4,"S98816579","Planning"
"Steps",-37.8736086077872,2.4252,NA,NA,1,NA,NA,NA,"S98816579","Heuristic"
"Steps-Cells",-38.1879355341765,2.0202,NA,NA,0.86,NA,NA,NA,"S98816579","Heuristic"
"Steps-Cells-Num",-38.3421746132345,0.4214,NA,NA,0.84,0.18,NA,NA,"S98816579","Heuristic"
"Steps-Num",-37.5856282272117,0.5282,NA,NA,1,0.18,NA,NA,"S98816579","Heuristic"
"Cells",-56.3442094324413,8,NA,NA,0,NA,NA,NA,"S97888932","Heuristic"
"Cells-Num",-47.9496200539224,8,NA,NA,0,0.1,NA,NA,"S97888932","Heuristic"
"DU",-22.7208502932982,1.3256,0,1,NA,NA,NA,NA,"S97888932","Planning"
"DU-Num",-22.0971111035,0.4624,0,1,NA,0.42,NA,NA,"S97888932","Planning"
"EU",-47.7390833960967,8,1,1,NA,NA,NA,NA,"S97888932","Planning"
"EU-Num",-47.7390833960967,8,1,1,NA,10,NA,NA,"S97888932","Planning"
"PW",-25.0549266728128,1.009,1,0.1,NA,NA,NA,NA,"S97888932","Planning"
"PW_DU",-22.7433467953,1.3256,0,1.8056,NA,NA,NA,NA,"S97888932","Planning"
"Random",-46.4039962147613,1,NA,NA,NA,NA,NA,NA,"S97888932","Heuristic"
"Sampling",-55.2452624771729,NA,NA,NA,NA,NA,8,1,"S97888932","Planning"
"Steps",-22.8349879698879,1.07,NA,NA,1,NA,NA,NA,"S97888932","Heuristic"
"Steps-Cells",-22.8349879698879,1.07,NA,NA,1,NA,NA,NA,"S97888932","Heuristic"
"Steps-Cells-Num",-24.432837436191,0.4152,NA,NA,1,0.42,NA,NA,"S97888932","Heuristic"
"Steps-Num",-24.432837436191,0.4152,NA,NA,1,0.42,NA,NA,"S97888932","Heuristic"
"Cells",-39.4190414692409,4.091,NA,NA,0,NA,NA,NA,"S47684253","Heuristic"
"Cells-Num",-40.1809010796459,1.0574,NA,NA,0,0.26,NA,NA,"S47684253","Heuristic"
"DU",-32.7627597425578,0.887,0.982,1,NA,NA,NA,NA,"S47684253","Planning"
"DU-Num",-33.8093760095,0.4936,0.7,1,NA,1.5,NA,NA,"S47684253","Planning"
"EU",-32.0285595852669,0.887,1,1,NA,NA,NA,NA,"S47684253","Planning"
"EU-Num",-32.4080642330492,0.887,1,1,NA,4.44,NA,NA,"S47684253","Planning"
"PW",-31.9333026849256,0.887,1,1.028,NA,NA,NA,NA,"S47684253","Planning"
"PW_DU",-33.540908317,0.887,0.916,1.2716,NA,NA,NA,NA,"S47684253","Planning"
"Random",-42.4147121531961,1,NA,NA,NA,NA,NA,NA,"S47684253","Heuristic"
"Sampling",-35.3305275550683,NA,NA,NA,NA,NA,156,9.8,"S47684253","Planning"
"Steps",-44.7601019141095,8,NA,NA,1,NA,NA,NA,"S47684253","Heuristic"
"Steps-Cells",-36.1010346792054,1.07,NA,NA,0.4,NA,NA,NA,"S47684253","Heuristic"
"Steps-Cells-Num",-36.0120925555226,0.391,NA,NA,0.4,0.5,NA,NA,"S47684253","Heuristic"
"Steps-Num",-43.2273770484521,2.925,NA,NA,1,0.1,NA,NA,"S47684253","Heuristic"
"Cells",-42.0291806571983,7.0884,NA,NA,0,NA,NA,NA,"S89474632","Heuristic"
"Cells-Num",-42.7560629627377,2.1394,NA,NA,0,0.18,NA,NA,"S89474632","Heuristic"
"DU",-37.8747540576084,1.0942,0.898,1,NA,NA,NA,NA,"S89474632","Planning"
"DU-Num",-40.138482044,1.0506,0.86,1,NA,6.6,NA,NA,"S89474632","Planning"
"EU",-36.8009530570133,1.3596,1,1,NA,NA,NA,NA,"S89474632","Planning"
"EU-Num",-36.8009530570133,1.3596,1,1,NA,10,NA,NA,"S89474632","Planning"
"PW",-36.7323030086542,1.009,1,0.7952,NA,NA,NA,NA,"S89474632","Planning"
"PW_DU",-40.946897096,0.948,0.934,0.9346,NA,NA,NA,NA,"S89474632","Planning"
"Random",-40.7408357246247,1,NA,NA,NA,NA,NA,NA,"S89474632","Heuristic"
"Sampling",-38.8572914466536,NA,NA,NA,NA,NA,641.8,26.2,"S89474632","Planning"
"Steps",-40.4232359197312,6.1768,NA,NA,1,NA,NA,NA,"S89474632","Heuristic"
"Steps-Cells",-38.2123054603193,0.948,NA,NA,0.48,NA,NA,NA,"S89474632","Heuristic"
"Steps-Cells-Num",-35.249277263877,0.3466,NA,NA,0.5,0.6,NA,NA,"S89474632","Heuristic"
"Steps-Num",-40.4085848655236,1.1552,NA,NA,1,0.1,NA,NA,"S89474632","Heuristic"
"Cells",-43.6197880770454,5.9806,NA,NA,0,NA,NA,NA,"S53150339","Heuristic"
"Cells-Num",-43.6760122147019,1.1184,NA,NA,0,0.1,NA,NA,"S53150339","Heuristic"
"DU",-42.0036522728696,2.7584,0.972,1,NA,NA,NA,NA,"S53150339","Planning"
"DU-Num",-42.58243583,0.6342,0.52,1,NA,0.18,NA,NA,"S53150339","Planning"
"EU",-41.0847530661704,2.7584,1,1,NA,NA,NA,NA,"S53150339","Planning"
"EU-Num",-42.5411445831164,2.7584,1,1,NA,3.6,NA,NA,"S53150339","Planning"
"PW",-41.7906410046807,2.9916,1,1.3528,NA,NA,NA,NA,"S53150339","Planning"
"PW_DU",-42.78091047,2.7584,0.924,1.5472,NA,NA,NA,NA,"S53150339","Planning"
"Random",-43.107859333756,1,NA,NA,NA,NA,NA,NA,"S53150339","Heuristic"
"Sampling",-45.6113231571019,NA,NA,NA,NA,NA,23.6,21.2,"S53150339","Planning"
"Steps",-46.4172155813154,8,NA,NA,1,NA,NA,NA,"S53150339","Heuristic"
"Steps-Cells",-47.3797192039233,2.4726,NA,NA,0.34,NA,NA,NA,"S53150339","Heuristic"
"Steps-Cells-Num",-45.0569360582201,0.497,NA,NA,0.3,0.1,NA,NA,"S53150339","Heuristic"
"Steps-Num",-45.2477375732478,3.5508,NA,NA,1,0.1,NA,NA,"S53150339","Heuristic"
"Cells",-44.9540051812583,8,NA,NA,0,NA,NA,NA,"S44310801","Heuristic"
"Cells-Num",-43.7020909594987,2.9916,NA,NA,0,0.1,NA,NA,"S44310801","Heuristic"
"DU",-43.9541819631941,2.6392,0.68,1,NA,NA,NA,NA,"S44310801","Planning"
"DU-Num",-45.9130785,0.7928,0.4,1,NA,0.92,NA,NA,"S44310801","Planning"
"EU",-44.2788250173184,4.0172,1,1,NA,NA,NA,NA,"S44310801","Planning"
"EU-Num",-44.2788250173184,4.0172,1,1,NA,10,NA,NA,"S44310801","Planning"
"PW",-44.1231017475469,2.7058,1,0.54,NA,NA,NA,NA,"S44310801","Planning"
"PW_DU",-44.4860424,2.4726,0.708,1.453,NA,NA,NA,NA,"S44310801","Planning"
"Random",-42.4147121531961,1,NA,NA,NA,NA,NA,NA,"S44310801","Heuristic"
"Sampling",-46.778137791676,NA,NA,NA,NA,NA,26.2,20.2,"S44310801","Planning"
"Steps",-42.0910842841095,5.8508,NA,NA,1,NA,NA,NA,"S44310801","Heuristic"
"Steps-Cells",-42.2514024041734,2.4252,NA,NA,0.6,NA,NA,NA,"S44310801","Heuristic"
"Steps-Cells-Num",-42.5062358949875,0.4534,NA,NA,0.6,0.1,NA,NA,"S44310801","Heuristic"
"Steps-Num",-41.5532211917205,1.1552,NA,NA,1,0.1,NA,NA,"S44310801","Heuristic"
"Cells",-50.5918079411714,8,NA,NA,0,NA,NA,NA,"S40001880","Heuristic"
"Cells-Num",-45.5637014296276,6.1768,NA,NA,0,0.1,NA,NA,"S40001880","Heuristic"
"DU",-24.8426994094566,0.4624,0.58,1,NA,NA,NA,NA,"S40001880","Planning"
"DU-Num",-24.7017835622,0.2702,0.42,1,NA,1.8,NA,NA,"S40001880","Planning"
"EU",-44.7388408207438,2.825,1,1,NA,NA,NA,NA,"S40001880","Planning"
"EU-Num",-44.7388408207438,2.825,1,1,NA,10,NA,NA,"S40001880","Planning"
"PW",-27.3432362011393,0.603,1,0.3574,NA,NA,NA,NA,"S40001880","Planning"
"PW_DU",-23.2655748373,0.384,0.5,2,NA,NA,NA,NA,"S40001880","Planning"
"Random",-44.3245546730815,1,NA,NA,NA,NA,NA,NA,"S40001880","Heuristic"
"Sampling",-30.9437642134324,NA,NA,NA,NA,NA,9,1.4,"S40001880","Planning"
"Steps",-27.5784404740299,1.3256,NA,NA,1,NA,NA,NA,"S40001880","Heuristic"
"Steps-Cells",-27.9115170858003,0.5594,NA,NA,0.66,NA,NA,NA,"S40001880","Heuristic"
